,Instruction Set,,,,,Control Signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALU_FUCTIONS,CODE
Bits,[15..11],[11..9],[8..6],[5..3],[2..0],,,,,,,,,,,,,,,,,,,,,,,FORWARDING UNIT,,,,,,,,SET C,000
,OP Code ,R dest,R1,R2,INDX,PC_ENABLE,WB_PC,IF JUMP,IN ENABLE ,REG WRITE,WRITE_CCR,LATCH_OUT,WRITE_FLAGS,ENABLE_IF_BRANCH,MEM_DATA_SOURCE,MEM_ADDRESS_SOURCE,WHICH_FLAG(3) ZNC,ALU_ENABLE,ALU_FUNCTION(3),OP_SOURCE,MEM_WRITE,MEM_READ,STACK_OP,WB_CONTROL,IF HLT(to hazard detection),IF_INT,,FORWARD_MEM,FORWARD_ALU,,IF/ID,ID/EX,EX/MEM,MEM/WB,,NOT,001
NOP,00000,XXX,XXX,XXX,XXX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC,010
HLT,00001,XXX,XXX,XXX,XXX,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,SUB,011
SET C,00010,XXX,XXX,XXX,XXX,1,,,,,1,,,,,,001,1,000,,,,,,,,,,,,,,,,,BUFF A ,100
RET,00011,XXX,XXX,XXX,XXX,1,1,,,,1,,,,,,,,,,,1,10,0,,,,,,,FLUSH,,,,,BUFF B,101
RTI,00100,XXX,XXX,XXX,XXX,1,1,,,,1,,1,,,,111,,,,,1,10,0,0,,,,,,,,,,,ADD,110
OUT Rs1,00101,addr,XXX,XXX,XXX,1,0,0,0,0,,1,,,,,,1,100,,,,,,,,,,,,,,,,,AND,111
PUSH Rs1,00111,addr,XXX,XXX,XXX,1,0,,,,,,,,00,1,,,,,1,,01,,,,,,,,,,,,,STACK OP,
POP Rdst,01000,addr,XXX,XXX,XXX,1,,,,1,,,,,,1,,,,,,1,10,0,,,,,,,,,,,,NO OP,00
JZ Rs1,01001,addr,XXX,XXX,XXX,1,1,1,,,,,,1,,,100,1,100,,,,,,,,,,,,,,,,,PUSH,01
JN Rs1,01010,addr,XXX,XXX,XXX,1,1,1,,,,,,1,,,010,1,100,,,,,,,,,,,,,,,,,POP,10
JC Rs1,01011,addr,XXX,XXX,XXX,1,1,1,,,,,,1,,,001,1,100,,,,,,,,,,,,,,,,,,
JMP Rs1,01100,addr,XXX,XXX,XXX,1,1,1,,,,,,1,,,000,1,100,,,,,,,,,,,,,,,,,WB CONTROL,
CALL Rs1,01101,addr,XXX,XXX,XXX,1,1,,,,,,,,10,1,,1,100,,1,,01,1,,,,,,,,,,,,DATA_MEM,0
"NOT Rdest, R1",01111,addr,addr,XXX,XXX,1,,,,1,1,,0,,,,110,1,001,,,,,1,,,,,,,,,,,,,
"INC Rdest, R1",10000,addr,addr,XXX,XXX,1,,,,1,1,,0,,,,111,1,010,,,,,1,,,,,,,,,,,,WRITE_FLAGS,
"MOV Rdest, R1",10001,addr,addr,XXX,XXX,1,,,,1,,, ,,,,,1,100,,,,,1,,,,,,,,,,,,ALU,0
"ADD Rdest, R1, R2",10011,addr,addr,addr,XXX,1,,,,1,1,,0,,,,111,1,110,00,,,,1,,,,,,,,,,,,MEM(RETI),1
"SUB Rdest, R1, R2",10100,addr,addr,addr,XXX,1,,,,1,1,,0,,,,111,1,110,00,,,,1,,,,,,,,,,,,,
"AND Rdest, R1, R2",10101,addr,addr,addr,XXX,1,,,,1,1,,0,,,,110,1,111,00,,,,1,,,,,,,,,,,,OP SOURCE,
"IADD Rdest, R1, IMM",11000,addr,addr,XXX,XXX,1,,,,1,1,,0,,,,111,1,110,00,,,,1,,,,,,,,,,,,Rs2,00
"LDD Rdst, R1, IMM",11001,addr,addr,XXX,XXX,1,,,,1,,,,,,0,,1,110,01,,1,,0,,,,,,,,,,,,IMM/INPUT,01
"STD Rdst, R1, IMM",11010,addr,addr,XXX,XXX,1,,,,,,,,,00,0,,1,110,01,1,,,,,,,,,,,,,,,INDX,10
"LDM Rdst, Imm",11011,addr,XXX,XXX,XXX,1,0,,0,1,,,,,,,,1,101,01,,,,1,,,,,,,,,,,,,
IN  Rdest,11100,addr,XXX,XXX,XXX,1,0,,1,1,,,,,,,,1,101,01,,,,1,,,,,,,,,,,,,
INT indx ,11111,XXX,XXX,XXX,0 or 2,1,1,,,,,,,,10,1,,1,110,10,1,,01,1,,1,,,,,,,,,,DATA_ALU,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rs1(data),01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC & Flags,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM_ADDRESS_SOURCE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDRESS,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STACK,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
